"Date" "Time" "Global_active_power" "Global_reactive_power" "Voltage" "Global_intensity" "Sub_metering_1" "Sub_metering_2" "Sub_metering_3"
"66637" "1/2/2007" "00:00:00" 0.326 0.128 243.15 1.4 0 0 0
"66638" "1/2/2007" "00:01:00" 0.326 0.13 243.32 1.4 0 0 0
"66639" "1/2/2007" "00:02:00" 0.324 0.132 243.51 1.4 0 0 0
"66640" "1/2/2007" "00:03:00" 0.324 0.134 243.9 1.4 0 0 0
"66641" "1/2/2007" "00:04:00" 0.322 0.13 243.16 1.4 0 0 0
"66642" "1/2/2007" "00:05:00" 0.32 0.126 242.29 1.4 0 0 0
"66643" "1/2/2007" "00:06:00" 0.32 0.126 242.46 1.4 0 0 0
"66644" "1/2/2007" "00:07:00" 0.32 0.126 242.63 1.4 0 0 0
"66645" "1/2/2007" "00:08:00" 0.32 0.128 242.7 1.4 0 0 0
"66646" "1/2/2007" "00:09:00" 0.236 0 242.89 1 0 0 0
"66647" "1/2/2007" "00:10:00" 0.226 0 243 1 0 0 0
"66648" "1/2/2007" "00:11:00" 0.224 0 242.5 1 0 0 0
"66649" "1/2/2007" "00:12:00" 0.224 0 242.18 1 0 0 0
"66650" "1/2/2007" "00:13:00" 0.224 0 242.15 1 0 0 0
"66651" "1/2/2007" "00:14:00" 0.224 0 242.73 1 0 0 0
"66652" "1/2/2007" "00:15:00" 0.26 0 242.85 1.2 0 0 0
"66653" "1/2/2007" "00:16:00" 0.304 0.096 242.89 1.2 0 0 0
"66654" "1/2/2007" "00:17:00" 0.302 0.096 242.87 1.2 0 0 0
"66655" "1/2/2007" "00:18:00" 0.302 0.094 242.19 1.2 0 0 0
"66656" "1/2/2007" "00:19:00" 0.3 0.094 242.23 1.2 0 0 0
"66657" "1/2/2007" "00:20:00" 0.3 0.094 242.16 1.2 0 0 0
"66658" "1/2/2007" "00:21:00" 0.298 0.094 242.29 1.2 0 0 0
"66659" "1/2/2007" "00:22:00" 0.298 0.094 242.47 1.2 0 0 0
"66660" "1/2/2007" "00:23:00" 0.296 0.094 242.32 1.2 0 0 0
"66661" "1/2/2007" "00:24:00" 0.296 0.096 242.98 1.2 0 0 0
"66662" "1/2/2007" "00:25:00" 0.298 0.1 243.65 1.2 0 0 0
"66663" "1/2/2007" "00:26:00" 0.228 0 243.55 1 0 0 0
"66664" "1/2/2007" "00:27:00" 0.226 0 243.11 1 0 0 0
"66665" "1/2/2007" "00:28:00" 0.226 0 243.09 1 0 0 0
"66666" "1/2/2007" "00:29:00" 0.226 0 243.05 1 0 0 0
"66667" "1/2/2007" "00:30:00" 0.226 0 243.22 1 0 0 0
"66668" "1/2/2007" "00:31:00" 0.226 0 243.37 1 0 0 0
"66669" "1/2/2007" "00:32:00" 0.226 0 243.14 1 0 0 0
